Fiscal Year,Professor Name,Department,Project Name,Project Duration,Project Cost
111,呂玫鍰,國立清華大學人類學研究所,社會想像、體驗、與流動的社群性：媽祖結緣品的研究,2022/08/01~2023/07/31,"737,000元"
111,呂仁碩,國立清華大學電機工程學系（所）,科研創業計畫：辨識時期位元寬度可調「彈性AI」晶片及系統,2022/01/01~2023/03/31,"7,500,000元"
111,呂忠津,國立清華大學電機工程學系（所）,量子表面碼在具相關性錯誤模型下的解碼,2022/08/01~2024/10/31,"2,020,000元"
111,周子勤,國立清華大學分析與環境科學研究所,利用原位/臨場實驗方法所得之關鍵信息設計用於電催化二氧化碳還原之銅基催化劑(3/4),2022/09/01~2024/03/31,"3,010,000元"
111,周卓煇,國立清華大學材料科學工程學系（所）,非貴重金屬奈米粒子實現高效率與長壽命OLED節律光源研究,2022/08/01~2023/07/31,"1,000,000元"
111,周佳駿,國立清華大學化學系（所）,移動高斯基底法與其於量子波包動力學之應用(2/3),2022/08/01~2023/07/31,"700,000元"
111,周麗新,國立清華大學材料科學工程學系（所）,橄欖石結構鋰離子電池磷酸鋰鐵基陰極材料低成本製程開發研究,2022/08/01~2025/01/31,"863,000元"
111,周鶴修,國立清華大學化學工程學系（所）,學門主題式計畫--可自修復、可伸縮、具溫度與觸覺感測之人體熱能與動能擷取的人機界面穿戴系統(1/3),2022/08/01~2023/08/31,"6,000,000元"
111,周鶴修,國立清華大學化學工程學系（所）,設計與合成仿皮膚之高分子材料於可伸縮感測元件暨電子皮膚元件整合之應用(5/5),2022/02/01~2023/01/31,"7,371,000元"
111,周秀專,國立清華大學分析與環境科學研究所,探討空氣懸浮微粒大小與成分對抗原呈現細胞之生物調節機轉,2022/08/01~2024/07/31,"1,042,000元"
111,周志遠,國立清華大學資訊工程學系（所）,容器化深度學習計算平台的GPU資源共享與動態管理優化技術,2022/08/01~2025/07/31,"2,403,000元"
111,周嗣文,國立清華大學經濟學系（所）,一個財產權與關係特定投資的理論,2022/08/01~2023/07/31,"629,000元"
111,唐文華,國立清華大學學習科學與科技研究所,以虛擬實境/擴增實境技術結合原住民文化融入國小自然科實作教材課程與推廣(1/2),2022/01/01~2022/12/31,"553,000元"
111,唐文華,國立清華大學學習科學與科技研究所,虛擬實境應用於量子力學波粒二象性教學模組之開發與研究,2022/08/01~2023/07/31,"482,000元"
111,唐述中,國立清華大學物理學系（所）,更近一步探索與研發二維新穎材料(1/3),2022/08/01~2024/07/31,"2,177,000元"
111,嚴大任,國立清華大學材料科學工程學系（所）,利用奈米流道結合三維電漿子超材感測器達成高靈敏及高選擇性之微縮化氣體感測,2022/04/01~2025/03/31,"812,000元"
111,嚴大任,國立清華大學材料科學工程學系（所）,半導體製程整合微機電及超材料實現無濾波片微縮型非分散性紅外線氣體感測器(2/4),2022/06/01~2023/05/31,"3,800,000元"
111,大江昌人,國立清華大學光電工程研究所,推進纖維素光子學之光電應用：控制虹彩、探測分子排列以及螢光摻雜的可行性,2022/08/01~2024/07/31,"900,000元"
111,姚在府,國立清華大學竹師教育學院,競技運動訓練的雙面刃:探討優秀截擊式及衝撞式年輕運動員的多模態腦影像執行功能網絡生物標誌,2022/08/01~2024/07/31,"2,310,000元"
111,姚遠,國立清華大學化學工程學系（所）,利用引入製程拓撲信息的機器學習方法進行製程數據分析：從製程監控到軟儀表之建立,2022/08/01~2023/07/31,"959,000元"
111,姚遠,國立清華大學化學工程學系（所）,開發基於物理信息的深度神經網路以實現樹脂轉注成型製程中的纖維織物滲透率量測及製程代理模型之建立,2022/06/01~2023/11/30,"620,000元"
111,孟瑛如,國立清華大學特殊教育學系,建置進階虛擬實境社會互動課程提升自閉症學生的社會技巧-從腦波反應到現實生活的改變,2022/08/01~2023/07/31,"925,000元"
111,孫玉珠,國立清華大學生物資訊與結構生物研究所,磷酸轉運膜蛋白的分子結構、生物物理功能及以結構為基礎的藥物設計之研究(5/5),2022/08/01~2023/07/31,"5,000,000元"
111,孫宏民,國立清華大學資訊工程學系（所）,針對以太坊智能合約的白箱模糊測試系統,2022/08/01~2025/07/31,"2,197,000元"
111,孫誠佑,國立清華大學統計學研究所,在基準對照參數化模型下具穩健及高效特性之二水準設計建構,2022/01/01~2024/07/31,"2,325,000元"
111,宋震國,國立清華大學動力機械工程學系,多極式充磁製程之原點訊號與自適應訊號誤差校正演算法研究,2022/08/01~2024/07/31,"2,712,000元"
111,宋信文,國立清華大學化學工程學系（所）,非侵入性經腸道直達腦部口服遞送系統(2/5),2022/08/01~2023/07/31,"12,600,000元"
111,岩間一雄,國立清華大學工業工程與工程管理學系（所）,探討大數據之即時隨機演算法：不確定性及不完整性之研究(2/2),2022/08/01~2023/07/31,"1,083,000元"
111,巫勇賢,國立清華大學工程與系統科學系,以電漿輔助製程與磊晶鍺層提升鐵電記憶體之多位元操作可靠度與抗輻射能力,2022/01/01~2023/02/28,"1,026,000元"
111,巫勇賢,國立清華大學工程與系統科學系,科普活動：科教聯盟總動員-串聯科學新氣象(主題五),2022/08/01~2023/07/31,"850,000元"
111,巫勇賢,國立清華大學工程與系統科學系,高可靠度與高運算效能之高密度鐵電記憶體關鍵技術開發,2022/08/01~2025/07/31,"5,059,000元"
111,廖崇碩,國立清華大學工業工程與工程管理學系（所）,運用組合演算法於極大化極小資源配置問題：理論與應用,2022/08/01~2025/07/31,"2,724,000元"
111,廖咸惠,國立清華大學歷史研究所,邂逅浪漫？宋代士人的女仙書寫,2022/08/01~2025/07/31,"1,158,000元"
111,廖品超,國立清華大學分子醫學研究所,粒線體相關降解路徑在粒線體代謝的功能及機制,2022/08/01~2025/07/31,"4,260,000元"
111,廖建能,國立清華大學材料科學工程學系（所）,超薄型熱電致冷/均溫板整合散熱系統開發,2022/08/01~2024/07/31,"3,200,000元"
111,張國浩,國立清華大學工業工程與工程管理學系（所）,建立震災醫療救難之模擬系統以及最佳化決策(1/2),2022/08/01~2023/10/31,"1,012,000元"
111,張世杰,國立清華大學資訊工程學系（所）,應用於XR之Multi-modelMulti-deviceAI軟硬體架構探索及優化的研究(1/4),2022/05/01~2023/04/30,"9,770,000元"
111,張鈞惠,國立清華大學系統神經科學研究所,利用化學遺傳學及光遺傳學研究視丘中線連結核於痕跡恐懼制約的角色(3/3),2022/08/01~2023/10/31,"1,430,000元"
111,張焯然,國立清華大學計量財務金融學系,補助國內大專校院購置「CompustatonS&PCapitalIQ企業財務分析」資料庫專案,2022/01/01~2022/12/31,"236,000元"
111,張琳,國立清華大學藝術與設計學系,無聊的優托邦？十九世紀末、二十世紀初，伯明罕出版品與繪畫所反映的郊區,2022/08/01~2024/07/31,"584,000元"
111,張元杰,國立清華大學科技管理研究所,產業成熟度與循環經濟：技術創新，商業模式與創新生態系統,2022/08/01~2025/07/31,"3,230,000元"
111,張瑋琦,國立清華大學環境與文化資源學系,從疫情到後疫情：原住民觀光部落的災害靭性與變遷性(1/2),2022/01/01~2023/12/31,"626,000元"
111,張存續,國立清華大學物理學系（所）,微波材料反應與應用(1/3),2022/06/01~2023/05/31,"1,940,000元"
111,張博堯,國立清華大學物理學系（所）,非平衡態之拓樸性質，量子糾纏，與量子混沌之研究(4/5),2022/03/01~2023/02/28,"3,795,000元"
111,張瑞芬,國立清華大學工業工程與工程管理學系（所）,智慧網路內容商標保護系統—發展深度遷移式學習模型於商標多元影像定位與識別,2022/08/01~2025/07/31,"2,668,000元"
111,張正尚,國立清華大學通訊工程研究所,6G通訊系統中編碼多重接取之數學分析,2022/08/01~2025/07/31,"3,958,000元"
111,張正尚,國立清華大學通訊工程研究所,時變網路的建模與分析,2022/08/01~2025/07/31,"4,027,000元"
111,張祥光,國立清華大學天文學研究所,以康普頓成像光譜儀測量天鵝座X-1與蟹狀星雲的軟伽瑪射線偏振態,2022/08/01~2023/07/31,"1,155,000元"
111,張硯評,國立清華大學教育心理與諮商學系,謝天，謝地：非人感恩情緒之心理機制（接續110-2410-H-007-082）,2022/08/01~2023/07/31,"1,433,000元"
111,張筱涵,國立清華大學生物資訊與結構生物研究所,人類移動與病原體演化對傳染疾病動態的影響(3/5),2022/03/01~2023/02/28,"8,500,000元"
111,張守一,國立清華大學材料科學工程學系（所）,延性高熵介金屬材料之開發及其缺陷回復（回春）機制之研究,2022/08/01~2025/07/31,"4,639,000元"
111,張禎元,國立清華大學動力機械工程學系,基於人類技能移轉之雙手機器人應用於去毛邊技術(2/4),2022/06/01~2023/08/31,"3,980,000元"
111,張維甫,國立清華大學物理學系（所）,暗隱世界與新物理(3/3),2022/08/01~2024/07/31,"707,000元"
111,張菀真,國立清華大學幼兒教育學系,繪本閱讀為本的STEAM課程模式發展與初步評估,2022/08/01~2024/01/31,"800,000元"
111,張俊盛,國立清華大學資訊工程學系（所）,ICAAL3-人機互動，學習互動分析，人工智能輔助語言學習—三目標語，十所代表性大學的綜合研究(1/3),2022/08/01~2023/07/31,"1,021,000元"
111,張介玉,國立清華大學數學系（所）,正特徵上的札吉爾猜想(1/4),2022/08/01~2024/01/31,"2,272,000元"
111,張廖貴術,國立清華大學工程與系統科學系,應用於衛星之積體電路與記憶體元件的輻射效應與製程研究,2022/01/01~2022/12/31,"964,000元"
111,張廖貴術,國立清華大學工程與系統科學系,高效能堆疊鍺或矽鍺閘環繞電晶體之製程研究,2022/08/01~2025/07/31,"4,484,000元"
111,張建文,國立清華大學生醫工程與環境科學系,原位信息核醣核酸傳遞平台研發與幹細胞軟骨分化應用,2022/08/01~2024/07/31,"2,562,000元"
111,彭朋瑞,國立清華大學電機工程學系（所）,應用於次世代400GbE乙太網路之4x100Gb/sPAM4光/電傳收機系統晶片(5/5),2022/02/01~2023/01/31,"3,191,000元"
111,彭朋瑞,國立清華大學電機工程學系（所）,應用於800G共同封裝光元件之8x112Gb/s四階脈衝調變電氣小晶片及矽光子晶片整合開發(1/4),2022/05/01~2023/04/30,"9,320,000元"
111,彭明德,國立清華大學分子醫學研究所,以細胞模式研究星狀細胞功能異常所引起的神經退化性疾病,2022/08/01~2023/07/31,"1,490,000元"
111,彭宗平,國立清華大學材料科學工程學系（所）,科普活動：辦理2022(第十九屆)2023(第二十屆)2024年(第二十一屆)「吳大猷科學營」(主題四),2022/08/01~2023/10/31,"650,000元"
111,彭心儀,國立清華大學科技法律研究所,中國資通訊貿易政策及其對國際經濟法秩序之影響,2022/08/01~2025/07/31,"3,513,000元"
111,彭心儀,國立清華大學招生策略中心,高教自主學習探索者：以「特殊選才沙盒」發展大一學習經驗轉銜機制,2022/08/01~2024/07/31,"633,000元"
111,後藤友嗣,國立清華大學天文學研究所,尋找第九行星,2022/08/01~2023/07/31,"1,082,000元"
111,徐茉莉,國立清華大學服務科學研究所,數位平台中演算法預測與行為修正之效果研究,2022/08/01~2025/07/31,"4,560,000元"
111,徐永珍,國立清華大學電子工程研究所,標準0.18微米SiGeBiCMOS製程中NPN光電晶體之崩潰特性研究及其應用,2022/08/01~2023/07/31,"924,000元"
111,徐子勝,國立清華大學分子與細胞生物研究所,特定標靶調節性T細胞中Deltex1的表達調控抗癌免疫力,2022/01/01~2023/10/31,"2,940,000元"
111,徐正炘,國立清華大學資訊工程學系（所）,"異質串流情境下的點雲壓縮,適應,與錯誤隱藏技術",2022/08/01~2023/07/31,"740,000元"
111,徐百嫻,國立清華大學物理學系（所）,大強子對撞機超環面實驗第三階段運轉之物理及性能分析(3/3),2022/08/01~2024/07/31,"2,041,000元"
111,徐斌睿,國立清華大學物理學系（所）,拓樸量子位元探測和操控:Majorana零模態(4/5),2022/02/01~2023/01/31,"3,820,000元"
111,徐碩鴻,國立清華大學電子工程研究所,次世代化合物半導體前瞻研發計畫之規劃及推動計畫,2022/03/01~2025/02/28,"9,483,828元"
111,徐憶萍,國立清華大學學習科學與科技研究所,探究英語寫作課的反思寫作,2022/08/01~2023/10/31,"563,000元"
111,戴明鳳,國立清華大學物理學系（所）,科普活動：推廣女性STEM計畫大作戰-引領女力崛起開創WISE新世代(主題二),2022/08/01~2023/07/31,"1,410,000元"
111,戴念華,國立清華大學材料科學工程學系（所）,清華五校聯盟科研產業化平台計畫,2022/01/01~2023/07/31,"48,700,000元"
111,戴念華,國立清華大學材料科學工程學系（所）,高靈敏度之慢性阻塞性肺病感測器開發,2022/08/01~2023/07/31,"1,350,000元"
111,方維倫,國立清華大學動力機械工程學系,人-機-物觸覺感測中樞,2022/08/01~2025/07/31,"7,168,000元"
111,方維倫,國立清華大學動力機械工程學系,具規模擴充性之CMOS全整合奈米孔生物分子感測器開發-子計畫一-特定應用積體電路、奈米孔與流體之整合(3/5),2022/10/01~2023/09/30,"560,000元"
111,方維倫,國立清華大學動力機械工程學系,應用於抬頭顯示器之壓電致動微掃描面鏡模組,2022/08/01~2025/07/31,"3,037,000元"
111,曾鈺婷,國立清華大學運動科學系,運動訓練對發展協調障礙者本體感覺與動作能力之神經可塑性,2022/08/01~2024/12/31,"1,747,000元"
111,曾繁根,國立清華大學工程與系統科學系,微流全血處理生醫塑膠晶片應用於循環腫瘤細胞簇免疫微環境分析(2/2),2022/11/01~2024/01/31,"2,101,000元"
111,曾繁根,國立清華大學工程與系統科學系,雙重拉曼增強微流晶片結合智慧學習技術應用於病毒快速篩檢-以COVID-19為例,2022/01/01~2024/12/31,"1,097,000元"
111,曾慈慧,國立清華大學環境與文化資源學系,以自發性地理資訊探討公園綠地的環境正義及動能生活：從宏觀及微觀角度探究,2022/08/01~2023/12/31,"747,000元"
111,曾正宜,國立清華大學學習科學與科技研究所,高中自主學習之理論與實務：觀點、輔導與風格,2022/08/01~2025/07/31,"3,204,000元"
111,曾祺峰,國立清華大學計量財務金融學系,破產預測:比較風險中立密度估計方法之效果,2022/08/01~2023/07/31,"366,000元"
111,曾柏彥,國立清華大學物理學系（所）,來自暗物質延伸結構的信號,2022/08/01~2025/07/31,"3,236,000元"
111,曾勝滄,國立清華大學統計學研究所,鋰離子電池的逐步應力加速衰變試驗之設計及其壽命分析(3/3),2022/08/01~2024/07/31,"819,000元"
111,朱思穎,國立清華大學特殊教育學系,介入回應模式與跨專業合作於學前特教應用之長期追蹤研究,2022/08/01~2025/07/31,"2,119,000元"
111,朱鵬維,國立清華大學工程與系統科學系,可控降解速率之生物可降解鎂合金系統開發,2022/08/01~2023/10/31,"1,300,000元"
111,朱麗安,國立清華大學生醫工程與環境科學系,果蠅長期互動記憶神經網路解碼(3/5),2022/02/01~2023/01/31,"4,700,000元"
